Time,Frame,r,Phi,Theta,FILE
80,8,8,90,180,image/output_000080_000020.png
80,8,8,90,225,image/output_000080_000021.png
80,8,8,90,270,image/output_000080_000022.png
80,8,8,90,315,image/output_000080_000023.png
90,9,8,0,0,image/output_000090_000000.png
90,9,8,0,45,image/output_000090_000001.png
90,9,8,0,90,image/output_000090_000002.png
90,9,8,0,135,image/output_000090_000003.png
90,9,8,0,180,image/output_000090_000004.png
90,9,8,0,225,image/output_000090_000005.png
90,9,8,0,270,image/output_000090_000006.png
90,9,8,0,315,image/output_000090_000007.png
90,9,8,45,0,image/output_000090_000008.png
90,9,8,45,45,image/output_000090_000009.png
90,9,8,45,90,image/output_000090_000010.png
90,9,8,45,135,image/output_000090_000011.png
90,9,8,45,180,image/output_000090_000012.png
90,9,8,45,225,image/output_000090_000013.png
90,9,8,45,270,image/output_000090_000014.png
90,9,8,45,315,image/output_000090_000015.png
90,9,8,90,0,image/output_000090_000016.png
90,9,8,90,45,image/output_000090_000017.png
90,9,8,90,90,image/output_000090_000018.png
90,9,8,90,135,image/output_000090_000019.png
90,9,8,90,180,image/output_000090_000020.png
90,9,8,90,225,image/output_000090_000021.png
90,9,8,90,270,image/output_000090_000022.png
90,9,8,90,315,image/output_000090_000023.png
100,10,8,0,0,image/output_000100_000000.png
100,10,8,0,45,image/output_000100_000001.png
100,10,8,0,90,image/output_000100_000002.png
100,10,8,0,135,image/output_000100_000003.png
100,10,8,0,180,image/output_000100_000004.png
100,10,8,0,225,image/output_000100_000005.png
100,10,8,0,270,image/output_000100_000006.png
100,10,8,0,315,image/output_000100_000007.png
100,10,8,45,0,image/output_000100_000008.png
100,10,8,45,45,image/output_000100_000009.png
100,10,8,45,90,image/output_000100_000010.png
100,10,8,45,135,image/output_000100_000011.png
100,10,8,45,180,image/output_000100_000012.png
100,10,8,45,225,image/output_000100_000013.png
100,10,8,45,270,image/output_000100_000014.png
100,10,8,45,315,image/output_000100_000015.png
100,10,8,90,0,image/output_000100_000016.png
100,10,8,90,45,image/output_000100_000017.png
100,10,8,90,90,image/output_000100_000018.png
100,10,8,90,135,image/output_000100_000019.png
100,10,8,90,180,image/output_000100_000020.png
100,10,8,90,225,image/output_000100_000021.png
100,10,8,90,270,image/output_000100_000022.png
100,10,8,90,315,image/output_000100_000023.png
110,11,8,0,0,image/output_000110_000000.png
110,11,8,0,45,image/output_000110_000001.png
110,11,8,0,90,image/output_000110_000002.png
110,11,8,0,135,image/output_000110_000003.png
110,11,8,0,180,image/output_000110_000004.png
110,11,8,0,225,image/output_000110_000005.png
110,11,8,0,270,image/output_000110_000006.png
110,11,8,0,315,image/output_000110_000007.png
110,11,8,45,0,image/output_000110_000008.png
110,11,8,45,45,image/output_000110_000009.png
110,11,8,45,90,image/output_000110_000010.png
110,11,8,45,135,image/output_000110_000011.png
110,11,8,45,180,image/output_000110_000012.png
110,11,8,45,225,image/output_000110_000013.png
